X,Y,ID,Case_Number,Address,Occurred_Date,Occurred_Month,Occurred_Year,Crime_Type,Multiple_Shooting,Gender,Race,Ethnicity,Victim_Age,Victim_Age_Band,Latitude,Longitude,ObjectId,Zip_code
-77.61088985,43.18416269,7b9b3c9f85a442ce6a0aa2433ab8614f,22-109240,442 Remington St,2022/06/01 04:00:00+00,6,2022,Shooting,No,M,WHITE,HISPANIC,34,25-44,43.18416269,-77.61088985,1,14621
-77.59889263,43.18179326,82e3549d4dc8a835dea7130df2dcc851,22-106950,904 Hudson Ave,2022/05/29 04:00:00+00,5,2022,Homicide,No,M,WHITE,HISPANIC,42,25-44,43.18179326,-77.59889263,2,14621
-77.6303776,43.14297014,bb9b98f90af42194e3a5b12a1ba8405f,22-106780,168 Bartlett St,2022/05/29 04:00:00+00,5,2022,Shooting,No,M,BLACK,NON HISPANIC,60,45-Older,43.14297014,-77.6303776,3,14611
-77.5806279,43.16721571,dd0ab9214578b6e0d35467f6bb7b0fc3,22-106380,720 N Goodman St,2022/05/28 04:00:00+00,5,2022,Shooting,No,M,BLACK,NON HISPANIC,28,25-44,43.16721571,-77.5806279,4,14621
-77.64197227,43.16239428,5aac53d1517de031545f178e919c35b8,22-104298,138 Murray St,2022/05/26 04:00:00+00,5,2022,Shooting,No,M,WHITE,HISPANIC,15,15-24,43.16239428,-77.64197227,5,14621
-77.62870378,43.15486861,ecf157eba2556b3fad6c0b47f3ed923a,22-104497,22 Jefferson Ave,2022/05/26 04:00:00+00,5,2022,Shooting,No,M,BLACK,NON HISPANIC,15,15-24,43.15486861,-77.62870378,6,14611
-77.56282563,43.16669846,8add03fdcd6aed1a00797f06bc60769f,22-103785,1173 Culver Rd,2022/05/25 04:00:00+00,5,2022,Shooting,No,M,BLACK,NON HISPANIC,28,25-44,43.16669846,-77.56282563,7,14609
-77.56468747,43.1589162,62907eb35d642fc1ab8bb70512c62c46,22-103905,1801 E Main St,2022/05/25 04:00:00+00,5,2022,Shooting,No,M,BLACK,NON HISPANIC,20,15-24,43.1589162,-77.56468747,8,14606
-77.6503256,43.13223858,0064b7eb5d256eb870fda3b40991448d,22-102984,58 Sheldon Ter,2022/05/24 04:00:00+00,5,2022,Shooting,No,M,BLACK,NON HISPANIC,59,45-Older,43.13223858,-77.6503256,9,14611
-77.5718866,43.17580088,9a443323217799871f4a3eaeacb828c6,22-101237,1865 Clifford Ave,2022/05/22 04:00:00+00,5,2022,Shooting,No,M,BLACK,NON HISPANIC,64,45-Older,43.17580088,-77.5718866,10,14609
